Province,District,Polling Division,Name,Votes,Percent
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,M.K. Sivajilingam,34,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Sanath Pinnaduwa,33,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Mohamed Musthaffa,29,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Aruna de Zoysa,27,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Muthu Bandara Theminimulla,22,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Senaratna de Silva,22,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Upali Sarath Kongahage,18,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Battaramulle Seelarathana Thero,14,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Valid Votes,"109,714",98.95%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Rejected Votes,"1,161",1.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Total Polled,"110,875",75.18%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Regis.Electors,"147,475",
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Mahinda Rajapaksha,"28,628",49.61%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Sarath Fonseka,"27,692",47.99%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Mohomad Cassim Mohomad Ismail,238,0.41%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Achala Ashoka Suraweera,167,0.29%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Channa Janaka Sugathsiri Gamage,162,0.28%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Panagoda Don Prince Soloman Anura Liyanage,108,0.19%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,W.V. Mahiman Ranjith,97,0.17%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Sarath Manamendra,84,0.15%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Sirithunga Jayasuriya,71,0.12%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Lal Perera,68,0.12%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Ukkubanda Wijekoon,66,0.11%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Idroos Mohomad Ilyas,52,0.09%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,M.K. Sivajilingam,50,0.09%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Wije Dias,36,0.06%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Vickramabahu Karunaratna,33,0.06%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Sanath Pinnaduwa,29,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Battaramulle Seelarathana Thero,27,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Mohamed Musthaffa,24,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Muthu Bandara Theminimulla,20,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Aruna de Zoysa,19,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Senaratna de Silva,17,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Upali Sarath Kongahage,15,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Valid Votes,"57,703",98.57%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Rejected Votes,838,1.43%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Total Polled,"58,541",74.40%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,PATHA-DUMBARA,Regis.Electors,"78,688",
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Mahinda Rajapaksha,"27,179",65.31%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Sarath Fonseka,"13,220",31.77%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Mohomad Cassim Mohomad Ismail,265,0.64%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Achala Ashoka Suraweera,183,0.44%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,W.V. Mahiman Ranjith,132,0.32%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Channa Janaka Sugathsiri Gamage,97,0.23%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Panagoda Don Prince Soloman Anura Liyanage,89,0.21%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Ukkubanda Wijekoon,68,0.16%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Sarath Manamendra,58,0.14%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Lal Perera,51,0.12%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Idroos Mohomad Ilyas,51,0.12%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Sirithunga Jayasuriya,44,0.11%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,M.K. Sivajilingam,30,0.07%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Vickramabahu Karunaratna,30,0.07%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Wije Dias,19,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Sanath Pinnaduwa,18,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Senaratna de Silva,17,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Mohamed Musthaffa,17,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Battaramulle Seelarathana Thero,15,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Upali Sarath Kongahage,13,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Aruna de Zoysa,11,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Muthu Bandara Theminimulla,6,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Valid Votes,"41,613",99.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Rejected Votes,397,0.95%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Total Polled,"42,010",75.52%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,UDA-DUMBARA,Regis.Electors,"55,629",
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Mahinda Rajapaksha,"19,009",56.11%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Sarath Fonseka,"13,957",41.20%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Mohomad Cassim Mohomad Ismail,183,0.54%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Achala Ashoka Suraweera,119,0.35%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Channa Janaka Sugathsiri Gamage,105,0.31%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,W.V. Mahiman Ranjith,75,0.22%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Sarath Manamendra,62,0.18%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Lal Perera,47,0.14%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Ukkubanda Wijekoon,45,0.13%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Panagoda Don Prince Soloman Anura Liyanage,45,0.13%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Idroos Mohomad Ilyas,37,0.11%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Sirithunga Jayasuriya,35,0.10%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Vickramabahu Karunaratna,27,0.08%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,TELDENIYA,Wije Dias,22,0.06%
