Province,District,Polling Division,Name,Votes,Percent
Central Province,MAHANUWARA,PATHA-DUMBARA,Namal Rajapaksa,88,0.13%
Central Province,MAHANUWARA,PATHA-DUMBARA,Sundaram Mahendran,19,0.03%
Central Province,MAHANUWARA,PATHA-DUMBARA,Jayantha Kulathunga,22,0.03%
Central Province,MAHANUWARA,PATHA-DUMBARA,Valid Votes,"65,480",98.46%
Central Province,MAHANUWARA,PATHA-DUMBARA,Rejected Votes,"1,023",1.54%
Central Province,MAHANUWARA,PATHA-DUMBARA,Total Polled,"66,503",77.90%
Central Province,MAHANUWARA,PATHA-DUMBARA,Regis.Electors,"85,375",
Central Province,MAHANUWARA,UDA-DUMBARA,Aithurus Mohamed Illias,66,0.14%
Central Province,MAHANUWARA,UDA-DUMBARA,Ibrahim Miflar,80,0.17%
Central Province,MAHANUWARA,UDA-DUMBARA,Prasanna Priyankara,12,0.03%
Central Province,MAHANUWARA,UDA-DUMBARA,Wimal Geeganage,15,0.03%
Central Province,MAHANUWARA,UDA-DUMBARA,Sirithunga Jayasuriya,44,0.09%
Central Province,MAHANUWARA,UDA-DUMBARA,M. B. Theminimulla,11,0.02%
Central Province,MAHANUWARA,UDA-DUMBARA,Pani Wijesiriwardane,13,0.03%
Central Province,MAHANUWARA,UDA-DUMBARA,Duminda Nagamuwa,25,0.05%
Central Province,MAHANUWARA,UDA-DUMBARA,Panagoda Don Prince Soloman Anura Liyanage,58,0.12%
Central Province,MAHANUWARA,UDA-DUMBARA,Maithripala Sirisena,"18,472",39.37%
Central Province,MAHANUWARA,UDA-DUMBARA,Ruwanthilaka Peduru Arachchi,66,0.14%
Central Province,MAHANUWARA,UDA-DUMBARA,Anuruddha Polgampala,14,0.03%
Central Province,MAHANUWARA,UDA-DUMBARA,Baththaramulle Seelarathana Thero,10,0.02%
Central Province,MAHANUWARA,UDA-DUMBARA,Sarath Manamendra,36,0.08%
Central Province,MAHANUWARA,UDA-DUMBARA,Arachchige Rathnayaka Sirisena,112,0.24%
Central Province,MAHANUWARA,UDA-DUMBARA,Mahinda Rajapaksa,"27,722",59.09%
Central Province,MAHANUWARA,UDA-DUMBARA,Namal Rajapaksa,129,0.27%
Central Province,MAHANUWARA,UDA-DUMBARA,Sundaram Mahendran,22,0.05%
Central Province,MAHANUWARA,UDA-DUMBARA,Jayantha Kulathunga,10,0.02%
Central Province,MAHANUWARA,UDA-DUMBARA,Valid Votes,"46,917",98.99%
Central Province,MAHANUWARA,UDA-DUMBARA,Rejected Votes,479,1.01%
Central Province,MAHANUWARA,UDA-DUMBARA,Total Polled,"47,396",80.83%
Central Province,MAHANUWARA,UDA-DUMBARA,Regis.Electors,"58,637",
Central Province,MAHANUWARA,TELDENIYA,Aithurus Mohamed Illias,63,0.17%
Central Province,MAHANUWARA,TELDENIYA,Ibrahim Miflar,65,0.17%
Central Province,MAHANUWARA,TELDENIYA,Prasanna Priyankara,11,0.03%
Central Province,MAHANUWARA,TELDENIYA,Wimal Geeganage,14,0.04%
Central Province,MAHANUWARA,TELDENIYA,Sirithunga Jayasuriya,31,0.08%
Central Province,MAHANUWARA,TELDENIYA,M. B. Theminimulla,15,0.04%
Central Province,MAHANUWARA,TELDENIYA,Pani Wijesiriwardane,29,0.08%
Central Province,MAHANUWARA,TELDENIYA,Duminda Nagamuwa,37,0.10%
Central Province,MAHANUWARA,TELDENIYA,Panagoda Don Prince Soloman Anura Liyanage,68,0.18%
Central Province,MAHANUWARA,TELDENIYA,Maithripala Sirisena,"18,624",49.83%
